mass_A
t	x	y	v
4.000000000E-2	1.024945687E-3	8.100661511E-1	3.036127950E-1
5.000000000E-2	3.793305144E-3	8.087523206E-1	3.612752787E-1
6.000000000E-2	7.457568014E-3	8.067753608E-1	3.843915027E-1
7.000000000E-2	1.060290833E-2	8.051841228E-1	4.050766109E-1
8.000000000E-2	1.452465792E-2	8.028141660E-1	4.141990882E-1
9.000000000E-2	1.783368020E-2	8.011418101E-1	4.437285776E-1
1.000000000E-1	2.233795513E-2	7.986057926E-1	5.237492164E-1
1.100000000E-1	2.697445992E-2	7.960260068E-1	5.458753340E-1
1.200000000E-1	3.186664264E-2	7.932769966E-1	5.725652829E-1
1.300000000E-1	3.701994933E-2	7.905286853E-1	5.657994149E-1
1.400000000E-1	4.185040552E-2	7.879500772E-1	5.531248967E-1
1.500000000E-1	4.663789406E-2	7.850629740E-1	6.444902382E-1
1.600000000E-1	5.290842997E-2	7.813268483E-1	7.308256638E-1
1.700000000E-1	5.921839714E-2	7.776216433E-1	7.405873981E-1
1.800000000E-1	6.552412407E-2	7.735659114E-1	7.602791918E-1
1.900000000E-1	7.215927936E-2	7.696377003E-1	7.850814947E-1
2.000000000E-1	7.901819547E-2	7.655377598E-1	8.243457102E-1
2.100000000E-1	8.637171889E-2	7.612815706E-1	8.422156870E-1
2.200000000E-1	9.361971443E-2	7.571397512E-1	8.800518337E-1
2.300000000E-1	1.016161096E-1	7.524835570E-1	9.147053341E-1
2.400000000E-1	1.093672542E-1	7.478290406E-1	9.592308081E-1
2.500000000E-1	1.180906266E-1	7.426530033E-1	1.010429956E0
2.600000000E-1	1.267680583E-1	7.375528791E-1	1.031181211E0
2.700000000E-1	1.358324484E-1	7.321381739E-1	1.067585745E0
2.800000000E-1	1.451590079E-1	7.267053587E-1	1.080495934E0
2.900000000E-1	1.545219772E-1	7.212896672E-1	1.083807834E0
3.000000000E-1	1.639373390E-1	7.158780760E-1	1.144823934E0
3.100000000E-1	1.755753771E-1	7.122894957E-1	1.229480729E0
3.200000000E-1	1.853779188E-1	7.038385293E-1	1.261040799E0
3.300000000E-1	1.958404260E-1	6.972755904E-1	1.236444983E0
3.400000000E-1	2.064525088E-1	6.909009818E-1	1.300509808E0
3.500000000E-1	2.182449769E-1	6.840632324E-1	1.320270098E0
3.600000000E-1	2.293015794E-1	6.776659819E-1	1.323898118E0
3.700000000E-1	2.411590843E-1	6.707957468E-1	1.381966324E0
3.800000000E-1	2.532937196E-1	6.639433883E-1	1.399345576E0
3.900000000E-1	2.654625235E-1	6.569173442E-1	1.452129498E0
4.000000000E-1	2.784610372E-1	6.494493150E-1	1.494131385E0
4.100000000E-1	2.914699878E-1	6.422005768E-1	1.517022641E0
4.200000000E-1	3.049284758E-1	6.346163191E-1	1.554758664E0
4.300000000E-1	3.184981315E-1	6.268256216E-1	1.593182503E0
4.400000000E-1	3.326635373E-1	6.189300652E-1	1.609280195E0
4.500000000E-1	3.465170256E-1	6.109872293E-1	1.595433576E0
4.600000000E-1	3.607050954E-1	6.037039581E-1	1.708053897E0
4.700000000E-1	3.764439764E-1	5.945143163E-1	1.728429472E0
4.800000000E-1	3.904721594E-1	5.861281430E-1	1.725643783E0
4.900000000E-1	4.064229532E-1	5.774146223E-1	1.763005704E0
5.000000000E-1	4.212622743E-1	5.689454638E-1	1.761483830E0
5.100000000E-1	4.370801497E-1	5.600575943E-1	1.835300051E0
5.200000000E-1	4.532741598E-1	5.509852383E-1	1.874295750E0
5.300000000E-1	4.697217864E-1	5.416261708E-1	1.902452651E0
5.400000000E-1	4.864003508E-1	5.322666404E-1	1.933497720E0
5.500000000E-1	5.035347829E-1	5.228632649E-1	1.961542588E0
5.600000000E-1	5.208131978E-1	5.134300883E-1	1.962918178E0
5.700000000E-1	5.380319057E-1	5.041237976E-1	1.928139525E0
5.800000000E-1	5.552992582E-1	4.961731927E-1	2.054998899E0
5.900000000E-1	5.739152378E-1	4.840839707E-1	2.166792370E0
6.000000000E-1	5.927720997E-1	4.744066629E-1	2.110925178E0
6.100000000E-1	6.113256987E-1	4.645171758E-1	2.114752545E0
6.200000000E-1	6.301437371E-1	4.546018137E-1	2.167854207E0
6.300000000E-1	6.496551890E-1	4.442517640E-1	2.207397541E0
6.400000000E-1	6.692601628E-1	4.341336237E-1	2.199131373E0
6.500000000E-1	6.884685686E-1	4.235637702E-1	2.241409722E0
6.600000000E-1	7.087186551E-1	4.128593575E-1	2.292134510E0
6.700000000E-1	7.288615248E-1	4.018851786E-1	2.207407968E0
6.800000000E-1	7.476927401E-1	3.921209711E-1	2.312468762E0
6.900000000E-1	7.690405174E-1	3.789798678E-1	2.440593546E0
7.000000000E-1	7.895255577E-1	3.669691499E-1	2.354694708E0
7.100000000E-1	8.101139749E-1	3.559406413E-1	2.388044699E0
7.200000000E-1	8.315590329E-1	3.442911878E-1	2.459103316E0
7.300000000E-1	8.533706859E-1	3.325369536E-1	2.487758149E0
7.400000000E-1	8.753807761E-1	3.207278463E-1	2.462873746E0
7.500000000E-1	8.969600029E-1	3.095963722E-1	2.487180896E0
7.600000000E-1	9.194454125E-1	2.976467861E-1  2.500000000E0
7.800000000E-1	9.647525246E-1	2.745593521E-1  2.530000000E0
7.900000000E-1	9.877707517E-1	2.629085588E-1	2.579451098E0
8.000000000E-1	1.010562374E0	2.508341568E-1	2.610308759E0
8.100000000E-1	1.034020162E0	2.386912769E-1	2.655729313E0
8.200000000E-1	1.057691543E0	2.263392453E-1	2.660511732E0
8.300000000E-1	1.081414778E0	2.145028606E-1	2.633216854E0
8.400000000E-1	1.104664665E0	2.025262608E-1	2.818238921E0
8.500000000E-1	1.131527578E0	1.887017839E-1	2.875204957E0
8.600000000E-1	1.155177336E0	1.750455141E-1	2.762005999E0
8.700000000E-1	1.179904533E0	1.620345564E-1	2.814355508E0
8.800000000E-1	1.204771209E0	1.484243466E-1	2.829447183E0
