mass_B
t	x	y	v
1.100000000E-1	2.710854309E-3	7.734456567E-1	7.111393606E-1
1.200000000E-1	7.896333095E-3	7.687180020E-1	7.033441883E-1
1.300000000E-1	1.278301038E-2	7.636258354E-1	6.817494387E-1
1.400000000E-1	1.707395344E-2	7.586341434E-1	7.327449086E-1
1.500000000E-1	2.232271121E-2	7.525010815E-1	8.661244320E-1
1.600000000E-1	2.859516258E-2	7.456985200E-1	9.251243689E-1
1.700000000E-1	3.515188721E-2	7.391686293E-1	9.498497762E-1
1.800000000E-1	4.219029489E-2	7.324298270E-1	9.833378580E-1
1.900000000E-1	4.941144756E-2	7.256243953E-1	1.009789780E0
2.000000000E-1	5.687117071E-2	7.185610835E-1	1.025427831E0
2.100000000E-1	6.459409715E-2	7.118371531E-1	1.054011258E0
2.200000000E-1	7.266285535E-2	7.045968940E-1	1.077904052E0
2.300000000E-1	8.059586651E-2	6.973908998E-1	1.099224718E0
2.400000000E-1	8.877959494E-2	6.896446802E-1	1.168325008E0
2.500000000E-1	9.777639611E-2	6.815535158E-1	1.233702761E0
2.600000000E-1	1.068572412E-1	6.728515951E-1	1.239666225E0
2.700000000E-1	1.157017874E-1	6.644249056E-1	1.254918437E0
2.800000000E-1	1.248135186E-1	6.553159111E-1	1.337612447E0
2.900000000E-1	1.349194909E-1	6.458140836E-1	1.414683716E0
3.000000000E-1	1.456270577E-1	6.361500926E-1	1.469783409E0
3.100000000E-1	1.567546415E-1	6.261333441E-1	1.505187223E0
3.200000000E-1	1.674546090E-1	6.154186325E-1	1.550231831E0
3.300000000E-1	1.789099778E-1	6.044439789E-1	1.618754354E0
3.400000000E-1	1.909856768E-1	5.931827356E-1	1.664448611E0
3.500000000E-1	2.036364820E-1	5.821559628E-1	1.662191404E0
3.600000000E-1	2.150945148E-1	5.702935234E-1	1.713470675E0
3.700000000E-1	2.279291953E-1	5.579845586E-1	1.796693421E0
3.800000000E-1	2.412868883E-1	5.456926602E-1	1.833758078E0
3.900000000E-1	2.549297042E-1	5.331644055E-1	1.881546845E0
4.000000000E-1	2.691530332E-1	5.204030303E-1	1.916649221E0
4.100000000E-1	2.838410831E-1	5.079939891E-1	1.930783955E0
4.200000000E-1	2.986945746E-1	4.955340134E-1	1.969088802E0
4.300000000E-1	3.142509302E-1	4.829706903E-1	1.996494056E0
4.400000000E-1	3.297305100E-1	4.704109936E-1	2.049910826E0
4.500000000E-1	3.470833992E-1	4.584170197E-1	2.159652066E0
4.600000000E-1	3.644259205E-1	4.446842117E-1	2.209246394E0
4.700000000E-1	3.829481634E-1	4.326095297E-1	2.185744276E0
4.800000000E-1	4.007110274E-1	4.203042562E-1	2.192824930E0
4.900000000E-1	4.193471870E-1	4.081451975E-1	2.268719508E0
5.000000000E-1	4.388378535E-1	3.957038413E-1	2.322005994E0
5.100000000E-1	4.586823355E-1	3.834585447E-1	2.331783647E0
5.200000000E-1	4.786574243E-1	3.714285911E-1	2.344237948E0
5.300000000E-1	4.990176916E-1	3.595579240E-1	2.353376394E0
5.400000000E-1	5.192296750E-1	3.475697426E-1	2.339989962E0
5.500000000E-1	5.399097705E-1	3.367970125E-1	2.406664223E0
5.600000000E-1	5.609702192E-1	3.236001776E-1	2.446236060E0
5.700000000E-1	5.821050510E-1	3.120344067E-1	2.395157890E0
5.800000000E-1	6.030515730E-1	3.007119232E-1	2.413366330E0
5.900000000E-1	6.245019792E-1	2.889641813E-1	2.451768525E0
6.000000000E-1	6.460810448E-1	2.771974145E-1	2.481224621E0
6.100000000E-1	6.681868471E-1	2.654222493E-1	2.529238170E0
6.200000000E-1	6.912856627E-1	2.544958550E-1	2.596977567E0
6.300000000E-1	7.148240662E-1	2.425599051E-1	2.616391719E0
6.400000000E-1	7.384071212E-1	2.317412862E-1	2.622358400E0
6.500000000E-1	7.626273335E-1	2.209832262E-1	2.686814515E0
6.600000000E-1	7.879060017E-1	2.108259873E-1	2.706578141E0
6.700000000E-1	8.131376812E-1	2.015170796E-1	2.720695074E0
6.800000000E-1	8.390755579E-1	1.923179029E-1	2.738805234E0
6.900000000E-1	8.650631623E-1	1.840767225E-1	2.735367585E0
7.000000000E-1	8.912409304E-1	1.758355414E-1	2.703468938E0
7.100000000E-1	9.171248935E-1	1.694796725E-1	2.717121033E0
7.200000000E-1	9.434668841E-1	1.608172710E-1	2.733007830E0
7.300000000E-1	9.693877962E-1	1.534696219E-1	2.693355603E0
7.400000000E-1	9.954802455E-1	1.468074172E-1	2.696058228E0
7.500000000E-1	1.021600745E0	1.400048535E-1	2.677654768E0
7.600000000E-1	1.047405712E0	1.337047459E-1	2.697986519E0
7.700000000E-1	1.074139696E0	1.277039970E-1	2.747025918E0
7.800000000E-1	1.100950833E0	1.214010673E-1	2.778404720E0
7.900000000E-1	1.128606193E0	1.166942825E-1	2.788777834E0
8.000000000E-1	1.155956105E0	1.121634894E-1	2.751719905E0
8.100000000E-1	1.183027050E0	1.084994445E-1	2.739353464E0
8.200000000E-1	1.210378605E0	1.058536228E-1	2.762842716E0
