mass_C
t	x	y	v
5.129000000E1	8.004690675E-4	8.054081396E-1	6.682469220E-1
5.130000000E1	3.045231819E-3	7.989117530E-1	7.335642921E-1
5.131000000E1	5.685928611E-3	7.915741628E-1	7.996173809E-1
5.132000000E1	8.280244118E-3	7.838005046E-1	8.687318149E-1
5.133000000E1	1.136470334E-2	7.751537638E-1	9.339867300E-1
5.134000000E1	1.455131339E-2	7.662048752E-1	1.003086311E0
5.135000000E1	1.792647637E-2	7.561954940E-1	1.079315613E0
5.136000000E1	2.133216557E-2	7.457112439E-1	1.133722782E0
5.137000000E1	2.527940063E-2	7.347463578E-1	1.189646027E0
5.138000000E1	2.930987021E-2	7.232956401E-1	1.262887364E0
5.139000000E1	3.384713119E-2	7.109861434E-1	1.341733948E0
5.140000000E1	3.863140464E-2	6.981319959E-1	1.406097295E0
5.141000000E1	4.379982830E-2	6.846842868E-1	1.462016817E0
5.142000000E1	4.907716970E-2	6.708211324E-1	1.518572410E0
5.143000000E1	5.500666260E-2	6.564560787E-1	1.585316178E0
5.144000000E1	6.118153113E-2	6.415162627E-1	1.647169843E0
5.145000000E1	6.768646579E-2	6.260506518E-1	1.720994837E0
5.146000000E1	7.502028219E-2	6.100008972E-1	1.791443835E0
5.147000000E1	8.286289769E-2	5.935947691E-1	1.856562407E0
5.148000000E1	9.126296348E-2	5.766107057E-1	1.904340760E0
5.149000000E1	1.001584729E-1	5.596614732E-1	1.950811364E0
5.150000000E1	1.098417814E-1	5.423019092E-1	2.017994731E0
5.151000000E1	1.201546312E-1	5.246033109E-1	2.084690824E0
5.152000000E1	1.312761234E-1	5.065395922E-1	2.147295934E0
5.153000000E1	1.432046375E-1	4.883672910E-1	2.194033239E0
5.154000000E1	1.556438396E-1	4.700467553E-1	2.235177008E0
5.155000000E1	1.692851167E-1	4.520600588E-1	2.293439156E0
5.156000000E1	1.841265036E-1	4.340928526E-1	2.376164147E0
5.157000000E1	2.000249997E-1	4.158175145E-1	2.387084148E0
5.158000000E1	2.166425781E-1	3.991361195E-1	2.392639098E0
5.159000000E1	2.348925701E-1	3.830434199E-1	2.459457861E0
5.160000000E1	2.536753594E-1	3.667610319E-1	2.515225395E0
5.161000000E1	2.738943839E-1	3.512723319E-1	2.549295090E0
5.162000000E1	2.948085939E-1	3.366343128E-1	2.564896047E0
5.163000000E1	3.164667415E-1	3.226529143E-1	2.593500299E0
5.164000000E1	3.387665501E-1	3.090989609E-1	2.641937123E0
5.165000000E1	3.612923035E-1	2.946778952E-1	2.720517297E0
5.166000000E1	3.859864441E-1	2.820662519E-1	2.672487996E0
5.167000000E1	4.083834935E-1	2.693935786E-1	2.603355914E0
5.168000000E1	4.317947374E-1	2.573157958E-1	2.700553760E0
5.169000000E1	4.562860996E-1	2.444428959E-1	2.746158962E0
5.170000000E1	4.810372463E-1	2.329902757E-1	2.722335473E0
5.171000000E1	5.057888564E-1	2.217730649E-1	2.733593694E0
5.172000000E1	5.312000786E-1	2.112485175E-1	2.762160159E0
5.173000000E1	5.568917849E-1	2.007896857E-1	2.763963178E0
5.174000000E1	5.826266363E-1	1.909727649E-1	2.781043003E0
5.175000000E1	6.092930003E-1	1.821404848E-1	2.807310936E0
5.176000000E1	6.359733003E-1	1.734647291E-1	2.815449562E0
5.177000000E1	6.631113402E-1	1.655788185E-1	2.798563097E0
5.178000000E1	6.897977777E-1	1.581119510E-1	2.769645762E0
5.179000000E1	7.167243183E-1	1.516495817E-1	2.774442586E0
5.180000000E1	7.436898238E-1	1.448960503E-1	2.839695663E0
5.181000000E1	7.721322737E-1	1.391793348E-1	2.855361191E0
5.182000000E1	7.999261963E-1	1.349609902E-1	2.802891347E0
5.183000000E1	8.275980361E-1	1.310535018E-1	2.806258045E0
5.184000000E1	8.555400533E-1	1.274023792E-1	2.786175555E0
5.185000000E1	8.829329256E-1	1.244838981E-1	2.816469105E0
5.186000000E1	9.115129646E-1	1.210752561E-1	2.792906097E0
5.187000000E1	9.384472370E-1	1.182959244E-1	2.762131921E0
5.188000000E1	9.664830124E-1	1.155941116E-1	2.806309077E0
5.189000000E1	9.943069350E-1	1.128331047E-1	2.756935836E0
5.190000000E1	1.021305786E0	1.096999100E-1	2.718380655E0
5.191000000E1	1.048338088E0	1.067939115E-1	2.743838941E0
5.192000000E1	1.075902868E0	1.041664227E-1	2.771810737E0
5.193000000E1	1.103571092E0	1.020516404E-1	2.812080521E0
5.194000000E1	1.132095455E0	1.018186881E-1	2.802967090E0
5.195000000E1	1.159628815E0	1.016255400E-1	2.768161800E0
